restaurant_id,name,address,rating,phone,photo_url,url,location,reviews,services,is_delivery,is_booking,is_opening,price_range,city,location.lat,location.lon,location.city,location.path,description,cuisines,num_reviews,example_reviews,media_urls,main_image,opening_hours,review_summary
restaurant_000000,Phở Cao Vân,"25 Mạc Đĩnh Chi, Quận 1, TP. HCM",6.574,(028) 38 220 509 - 0908 357 209,https://images.foody.vn/res/g2/10337/prof/s640x400/foody-mobile-phocaovan-jpg-343-635738098795295528.jpg,https://www.foody.vn/ho-chi-minh/pho-cao-van,"{'lat': 10.784871, 'lon': 106.699262}","[{'user': 'Huy', 'rating': 5.0, 'comment': 'Mới ăn về 1 tô đặc biệt, 1 tô tái 1 tiết trứng 160k\n\nNước phở mặn và không có vị', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g989/9881292/avt/c100x100/beauty-upload-api-foody-avatar-fe3a46e6-59c9-41e8-83d9-dc003c9dc255-190603165136.jpg'}, {'user': 'Đức', 'rating': 1.0, 'comment': 'Mình tới đây ăn phở tái mà mở ra thịt sống luôn. Thịt bó lại một cục. Chắc không dám ăn nữa luôn.', 'date': None, 'user_avatar': 'https://images.foody.vn/default/s100/user-default-female.png'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/pho-cao-van', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000001,Texas Chicken - Vạn Hạnh Mall,"16 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",6.38,Đang cập nhật,https://images.foody.vn/res/g72/719632/prof/s640x400/foody-upload-api-foody-mobile-92a-jpg-180831084911.jpg,https://www.foody.vn/ho-chi-minh/texas-chicken-van-hanh-mall,"{'lat': 10.770823, 'lon': 106.669862}","[{'user': 'Nga Trần', 'rating': 8.0, 'comment': 'Sau khi coi phim với mấy đứa cháu xong thì mình dẫn tụi nó qua đây ăn gà rán. Kêu 1 phần số 11. Combo Classic Burger - 95k phần này gồm 1 cái burger, 1 cánh gà, khoai tây và nước ngọt. Khoai tây ngon ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g95/945545/avt/c100x100/pebap_lovely-avatar-194-638209076280023096.jpg'}, {'user': 'Nga Trần', 'rating': 7.6, 'comment': 'Nằm trong Vạn Hạnh Mall nên cuối tuần đông xỉu luôn. Cũng may quán rộng rãi có nhiều chỗ ngồi.\n_Khoai tây chiên phủ sốt phô mai - 38k cũng ngon đó nhưng càng ăn càng ngán tại phô mai béo quá, ăn khoai ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g95/945545/avt/c100x100/pebap_lovely-avatar-194-638209076280023096.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/texas-chicken-van-hanh-mall', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000002,Long Bánh Tráng Trộn - Bánh Tráng Cuốn,"240 Bùi Đình Túy, P. 12, Quận Bình Thạnh, TP. HCM",3.934,Đang cập nhật,https://images.foody.vn/res/g106/1052688/prof/s640x400/vn-11134513-7r98o-lsv2209tkd5l8c,https://www.foody.vn/ho-chi-minh/long-banh-trang-tron-banh-trang-cuon,"{'lat': 10.8075456, 'lon': 106.7014461}","[{'user': 'Nị', 'rating': 7.4, 'comment': 'Cảm giác bánh tráng trộn do anh chủ làm sẽ ngon hơn những người khác . Hôm trước đi buổi tối nhầm chị khác trộn thấy bánh tráng như ko đủ khô mà trộn cũng thấy chán lắm, bánh cứ trắng trắng nhìn nhạt ...', 'date': None, 'user_avatar': 'https://images.foody.vn/default/s100/user-default-female.png'}, {'user': 'Nguyen Ngoc Chau', 'rating': 1.0, 'comment': 'Mong quán cẩn thận hơn. Ăn bịch bánh tráng mà  xém xíu đi bệnh viện&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g182/1818471/avt/c100x100/foody-avatar-931-637243850530270162.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/long-banh-trang-tron-banh-trang-cuon', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000003,"Highlands Coffee - Trà, Cà Phê & Bánh - Dragon Hill 1 Nhà Bè","15A Nguyễn Hữu Thọ, X. Phước Kiểng, Huyện Nhà Bè, TP. HCM",8.0,Đang cập nhật,https://images.foody.vn/res/g116/1152485/prof/s640x400/vn-11134513-7ra0g-m8eobd3917xq41,https://www.foody.vn/ho-chi-minh/highlands-coffee-tra-ca-phe-banh-dragon-hill-1-nha-be,"{'lat': 10.710203, 'lon': 106.708765}","[{'user': 'Phong Trần', 'rating': 8.0, 'comment': 'HIGHLANDS COFFEE TẶNG BẠN VOUCHER ƯU ĐÃI ĐẶC BIỆT\n-\tMUA 2 TẶNG 1: ÁP DỤNG CHO DÒNG PHINDI VÀ FREEZE\n-\tGIẢM 20K CHO ĐƠN 100K\n-\tTẶNG PHINDI SIZE M CHO ĐƠN 89K\nNHẬN VOUCHER ƯU ĐÃI SỐ LƯỢNG CÓ HẠN TRUY CẬP: ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g155/1546467/avt/c100x100/foody-avatar-218-636100740695153040.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/highlands-coffee-tra-ca-phe-banh-dragon-hill-1-nha-be', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000004,"Highlands Coffee - Trà, Cà Phê & Bánh - 225 Nguyễn Đình Chiểu","225 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",7.144,Đang cập nhật,https://images.foody.vn/res/g78/774643/prof/s640x400/vn-11134513-7ra0g-m8eo7hzaairraf,https://www.foody.vn/ho-chi-minh/highlands-coffee-tra-ca-phe-banh-225-nguyen-dinh-chieu,"{'lat': 10.773954, 'lon': 106.685867}","[{'user': 'Phong Trần', 'rating': 8.0, 'comment': 'HIGHLANDS COFFEE TẶNG BẠN VOUCHER ƯU ĐÃI ĐẶC BIỆT\n-\tMUA 2 TẶNG 1: ÁP DỤNG CHO DÒNG PHINDI VÀ FREEZE\n-\tGIẢM 20K CHO ĐƠN 100K\n-\tTẶNG PHINDI SIZE M CHO ĐƠN 89K\nNHẬN VOUCHER ƯU ĐÃI SỐ LƯỢNG CÓ HẠN TRUY CẬP: ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g155/1546467/avt/c100x100/foody-avatar-218-636100740695153040.jpg'}, {'user': 'Doanh Uyển', 'rating': 4.2, 'comment': 'Mùnh gọi nước mà nói chuyện rất khinh khách hàng. Ko bao h ghé chi nhánh này 1 lần nào nữa', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g929/9288740/avt/c100x100/beauty-upload-api-foody-avatar-ce791d1a-fe39-4efb-887d-8b18518d513c-191104115907.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/highlands-coffee-tra-ca-phe-banh-225-nguyen-dinh-chieu', 'type': 0}]",True,False,False,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000005,Khang Khang - Bún Chả Hà Nội,"291 Đường Số 1, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",7.3,Đang cập nhật,https://images.foody.vn/res/g21/206077/prof/s640x400/vn-11134513-7r98o-lstw8nk61dj87f,https://www.foody.vn/ho-chi-minh/khang-khang-bun-cha-ha-noi,"{'lat': 10.7481927, 'lon': 106.6130129}","[{'user': 'Nhung Trần', 'rating': 10.0, 'comment': 'Mình là khách hàng khá khó tính nhưng vẫn rất thích quán này. Quán phục vụ tốt, đồ ăn ngon, giá phải chăng. Cty mình buổi trưa hay oder ở đây về ăn', 'date': None, 'user_avatar': 'https://images.foody.vn/default/s100/user-default-female.png'}, {'user': 'Diệp Tạ Hồng', 'rating': 3.4, 'comment': 'Hôm nay công ty mình mua gần 20 suất cả phòng ăn mà Bún chả HN dở quá dở. Mình là người ở HN vô mà không hiểu suất bún chả ở đây là bún gì. Thay vì nước mắm thì cửa hàng cho nước lèo, ăn cả bát nước có ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g15/149903/avt/c100x100/vn-11134523-7r98o-lz5wbhpnypn1dc'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/khang-khang-bun-cha-ha-noi', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000006,Diệu Quyên - Cháo Vịt & Gỏi Vịt,"14 Lê Trọng Tấn, Quận Tân Phú, TP. HCM",1.8,0933 911 188,https://images.foody.vn/res/g72/716443/prof/s640x400/foody-mobile-hmn-jpg.jpg,https://www.foody.vn/ho-chi-minh/dieu-quyen-chao-vit-goi-vit,"{'lat': 10.8042122, 'lon': 106.6323043}","[{'user': 'Hiền Thảo', 'rating': 1.0, 'comment': 'Quá dở với món cơm chan nước vịt má ơi kinh khủng&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g7/67102/avt/c100x100/beauty-upload-api-foody-avatar-3b16b1c1-1d5a-4e3d-bc5d-8a7e182108f8-191222114535.jpg'}, {'user': 'Tieuphuong1989 Le', 'rating': 2.6, 'comment': 'Mua cái gỏi và cháo hơn cả 100k mà ăn không ra gì\nThịt quá lạnh ăn muốn đau bụng', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g1445/14446042/avt/c100x100/foodee_ph083m2l-avatar-383-636869412347859262.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/dieu-quyen-chao-vit-goi-vit', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000007,Phở Dậu - Nam Kỳ Khởi Nghĩa,"Cư xá 288 nhà M1, Đ. Nam Kỳ Khởi Nghĩa, P. 8, Quận 3, TP. HCM",6.376,(028) 38 465 866 - 0903 611 505,https://images.foody.vn/res/g1/3171/prof/s640x400/vn-11134513-7r98o-lstpwfp4ygn818,https://www.foody.vn/ho-chi-minh/pho-dau-nam-ky-khoi-nghia,"{'lat': 10.789846, 'lon': 106.685075}","[{'user': 'PT N', 'rating': 5.8, 'comment': 'Mình sống ở Sài Gòn từ nhỏ nên không biết vị phở đúng chuẩn ở ngoài Bắc như thế nào. Cảm nhận đầu tiên khi ăn phở Bắc là họ không bỏ đinh hương,quế,hoa hồi… nên ăn không ra mùi phở. Nước dùng rất thanh, ...', 'date': None, 'user_avatar': 'https://images.foody.vn/default/s100/user-default-female.png'}, {'user': 'B Mai Luu', 'rating': 6.6, 'comment': 'Quán phở Dậu này rất nổi tiếng ở SG từ ngày xưa rồi. Nghe nói là quán phở Bắc nên mình cũng dắt mẹ đi ăn thử.\n1 bát đắt lòi 80k giờ lên 90k mà thịt k ngon, nước dùng rất hăng và khó ăn. Mình ăn rất nhiều ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g36/359392/avt/c100x100/lbmai1410-avatar-294-637863548338176705.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/pho-dau-nam-ky-khoi-nghia', 'type': 0}]",True,False,False,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000008,Trà Sữa Bình Phú,"9 Đường Số 44, P. 10, Quận 6, TP. HCM",6.91,0962 418 821,https://images.foody.vn/res/g67/663337/prof/s640x400/vn-11134513-7r98o-lsu07kvuh8sk76,https://www.foody.vn/ho-chi-minh/tra-sua-binh-phu,"{'lat': 10.735673, 'lon': 106.626368}","[{'user': 'Ngọc Linh', 'rating': 10.0, 'comment': 'Nhà mình giao củ năng cho shop này nè, shop yêu cầu rất kĩ là củ phải tươi, giao mới, sạch, không ngâm tẩy nên mình rất tin tưởng độ an toàn thực phẩm của shop.', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g213/2125989/avt/c100x100/beauty-upload-api-foody-avatar-7fde9f60-be42-48ca-9ae0-39a02f62d650-191121190321.jpg'}, {'user': 'Linh Lavie', 'rating': 4.2, 'comment': 'sữa tươi trân châu đường đen dở tệ, chỉ toàn nghe mùi sữa ông thọ.&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; ', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g49/488290/avt/c100x100/beauty-upload-api-foody-avatar-01db9c1a-e99b-4c7f-9582-e8dbd5623af4-191122115211.jpg'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/tra-sua-binh-phu', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
restaurant_000009,Cơm Cháy Kho Quẹt - Đường 50,"10 Đường 50 Bến Vân Đồn, P. 5, Quận 4, TP. HCM",6.928,0961 212 302,https://images.foody.vn/res/g75/742954/prof/s640x400/vn-11134513-7r98o-lsu3f4vwtiu1fd,https://www.foody.vn/ho-chi-minh/com-chay-kho-quet-xom-chieu,"{'lat': 10.7599032, 'lon': 106.6973689}","[{'user': 'Lemon Tree', 'rating': 7.2, 'comment': 'Thấy foody báo có 2 quán cùng hệ thống mà chạy qua quán ở***không gian xập xệ quá, không dám ngồi. Lóc cóc qua đây thêm 8km nữa. Nhận xét\nVị trí: mặt tiền đường Xóm Chiếu. Đường nhỏ\nKhông gian: cũng được, ...', 'date': None, 'user_avatar': 'https://images.foody.vn/usr/g109/1087011/avt/c100x100/vn-11134523-7ra0g-m8iyrfddgltzd8'}, {'user': ' Quyên Đỗ', 'rating': 8.4, 'comment': 'Trời mưa mưa tự dưng lại thèm nhấm nháp mấy món quẹt quẹt như này. Tìm mãi thấy chỗ này cũng kha khá lời khen nên quyết định order thử. \nMình order cơm cháy kho quẹt và rau củ thêm tổng là 36.000. Kho ...', 'date': None, 'user_avatar': 'https://images.foody.vn/default/s100/user-default-female.png'}]","[{'name': 'ShopeeFood', 'url': 'https://www.deliverynow.vn/ho-chi-minh/com-chay-kho-quet-xom-chieu', 'type': 0}]",True,False,True,"{'min': None, 'max': None}",hanoi,10.78,106.68,,,,,,,,,,
